45,Arathi Highlands,World of Warcraft,Eastern Kingdoms,0,ZONE
3,Badlands,World of Warcraft,Eastern Kingdoms,0,ZONE
25,Blackrock Mountain,World of Warcraft,Eastern Kingdoms,0,ZONE
4,Blasted Lands,World of Warcraft,Eastern Kingdoms,0,ZONE
46,Burning Steppes,World of Warcraft,Eastern Kingdoms,0,ZONE
41,Deadwind Pass,World of Warcraft,Eastern Kingdoms,0,ZONE
1,Dun Morogh,World of Warcraft,Eastern Kingdoms,0,ZONE
10,Duskwood,World of Warcraft,Eastern Kingdoms,0,ZONE
139,Eastern Plaguelands,World of Warcraft,Eastern Kingdoms,0,ZONE
12,Elwynn Forest,World of Warcraft,Eastern Kingdoms,0,ZONE
3430,Eversong Woods,The Burning Crusade,Eastern Kingdoms,0,ZONE
3433,Ghostlands,The Burning Crusade,Eastern Kingdoms,0,ZONE
267,Hillsbrad Foothills,World of Warcraft,Eastern Kingdoms,0,ZONE
1537,Ironforge,World of Warcraft,Eastern Kingdoms,0,ZONE
4080,Isle of Quel'Danas,The Burning Crusade,Eastern Kingdoms,0,ZONE
38,Loch Modan,World of Warcraft,Eastern Kingdoms,0,ZONE
33,Northern Stranglethorn,World of Warcraft,Eastern Kingdoms,0,ZONE
44,Redridge Mountains,World of Warcraft,Eastern Kingdoms,0,ZONE
51,Searing Gorge,World of Warcraft,Eastern Kingdoms,0,ZONE
3487,Silvermoon City,The Burning Crusade,Eastern Kingdoms,0,ZONE
130,Silverpine Forest,World of Warcraft,Eastern Kingdoms,0,ZONE
1519,Stormwind City,World of Warcraft,Eastern Kingdoms,0,ZONE
5339,Stranglethorn Vale,World of Warcraft,Eastern Kingdoms,0,ZONE
8,Swamp of Sorrows,World of Warcraft,Eastern Kingdoms,0,ZONE
5287,The Cape of Stranglethorn,World of Warcraft,Eastern Kingdoms,0,ZONE
47,The Hinterlands,World of Warcraft,Eastern Kingdoms,0,ZONE
85,Tirisfal Glades,World of Warcraft,Eastern Kingdoms,0,ZONE
1497,Undercity,World of Warcraft,Eastern Kingdoms,0,ZONE
28,Western Plaguelands,World of Warcraft,Eastern Kingdoms,0,ZONE
40,Westfall,World of Warcraft,Eastern Kingdoms,0,ZONE
11,Wetlands,World of Warcraft,Eastern Kingdoms,0,ZONE
331,Ashenvale,World of Warcraft,Kalimdor,0,ZONE
16,Azshara,World of Warcraft,Kalimdor,0,ZONE
3524,Azuremyst Isle,The Burning Crusade,Kalimdor,0,ZONE
3525,Bloodmyst Isle,The Burning Crusade,Kalimdor,0,ZONE
148,Darkshore,World of Warcraft,Kalimdor,0,ZONE
1657,Darnassus,World of Warcraft,Kalimdor,0,ZONE
405,Desolace,World of Warcraft,Kalimdor,0,ZONE
14,Durotar,World of Warcraft,Kalimdor,0,ZONE
15,Dustwallow Marsh,World of Warcraft,Kalimdor,0,ZONE
361,Felwood,World of Warcraft,Kalimdor,0,ZONE
357,Feralas,World of Warcraft,Kalimdor,0,ZONE
876,GM Island,World of Warcraft,Kalimdor,0,ZONE
493,Moonglade,World of Warcraft,Kalimdor,0,ZONE
215,Mulgore,World of Warcraft,Kalimdor,0,ZONE
17,Northern Barrens,World of Warcraft,Kalimdor,0,ZONE
1637,Orgrimmar,World of Warcraft,Kalimdor,0,ZONE
1377,Silithus,World of Warcraft,Kalimdor,0,ZONE
